time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust,dealer,foreign,"K(9,3)","D(9,3)",J,DIF12-26,MACD9,OSC,volume,MA5,MA10,financing,financing_difference,tomorrow,percentage
2020/2/20,11785.78,11827.83,11714.15,11725.09,11734.69,11725.66,11708.81,11478.7,12164.91,11732.39,11299.87,-3291,-1725,40891,0.7197,0.7179,0.7232,-34.56,-45.69,11.14,1353.14,1295,1324.09,1355,1.63,11686.35,-0.002870181
2020/2/21,11721.16,11755.17,11661.63,11686.35,11725.16,11722.1,11708.72,11482.46,12112.12,11712.11,11312.11,-3292,-1733,40857,0.5796,0.6718,0.3952,-34.51,-43.46,8.95,1249.45,1318.69,1319.15,1351,-4.12,11534.87,-0.003304026
2020/2/24,11615.28,11615.28,11512.08,11534.87,11673.23,11694.33,11704.15,11483.9,12057.37,11685.51,11313.65,-3289,-1748,40594,0.4086,0.5841,0.0576,-45.89,-43.94,-1.95,1402.97,1367.23,1327.45,1358,7.1,11540.23,-0.012962131
2020/2/25,11506.74,11567.09,11415.47,11540.23,11617.95,11660.34,11697.7,11484.28,11984.66,11658.01,11331.35,-3294,-1742,40477,0.367,0.5117,0.0776,-56.97,-46.55,-10.42,1554.87,1395.59,1359.74,1367,9.52,11433.62,0.000464678
2020/2/26,11468.6,11494.22,11408.06,11433.62,11562.34,11622.3,11689.62,11483.74,11887.63,11623.75,11359.88,-3287,-1759,40145,0.2644,0.4293,-0.0655,-70.84,-51.41,-19.44,1770.77,1466.24,1386.37,1375,7.72,11292.17,-0.009238117
2020/2/27,11436.96,11470.23,11274.52,11292.17,11497.72,11576.15,11679.09,11481.83,11905.88,11617.27,11328.67,-3297,-1818,39913,0.1869,0.3485,-0.1363,-89.69,-59.06,-30.63,2034.6,1602.53,1448.77,1354,-21.1,11170.46,-0.01237141
2020/3/2,11184.66,11282.05,11049.85,11170.46,11389.06,11502.62,11662.45,11476.71,11946.27,11601.04,11255.82,-3295,-1806,39716,0.1763,0.2911,-0.0534,-116.53,-70.56,-45.97,2032.07,1759.06,1538.87,1355,1.18,11327.72,-0.010778265
2020/3/3,11279.86,11390.24,11279.86,11327.72,11365.85,11469.31,11651.21,11474.11,11948.97,11599.68,11250.4,-3286,-1827,39580,0.2366,0.2729,0.1639,-123.2,-81.09,-42.12,1650.19,1808.5,1587.86,1361,6.17,11392.35,0.014078203
2020/3/4,11368.25,11392.35,11297.81,11392.35,11364.8,11449.93,11641.75,11472.26,11951.98,11591.5,11231.02,-3285,-1863,39643,0.3045,0.2834,0.3465,-124.05,-89.68,-34.37,1407.35,1779,1587.29,1361,1761,11514.82,0.005705473
2020/3/5,11454.65,11525.32,11454.65,11514.82,11405.65,11456.73,11636.68,11472.51,11950.53,11588.56,11226.59,-3271,-1855,39653,0.4227,0.3298,0.6084,-112.64,-94.27,-18.37,1459.58,1716.76,1591.5,1352,-9.37,11321.81,0.010750196
2020/3/6,11471.36,11471.36,11310.32,11321.81,11401.67,11445.28,11628.72,11471.21,11938.97,11567.17,11195.38,-3263,-1898,39364,0.4421,0.3673,0.5919,-114.07,-98.23,-15.84,1514.78,1612.79,1607.66,1366,13.9,10977.64,-0.016761877
2020/3/9,11221.76,11221.76,10977.64,10977.64,11301.01,11382.44,11611.37,11465.07,11986.29,11535.41,11084.53,-3255,-1962,38819,0.2948,0.3431,0.1981,-139.23,-106.43,-32.8,2326.71,1671.72,1715.39,1344,-22.1,11003.54,-0.03039885
