time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error,tomorrow,percentage
2016/11/18,8991.5,9025.98,8958.22,9008.79,8993.51,9034.62,9111.94,8990.28,9450.71,9140.61,8830.52,5,-2977,15496,-61,41111,7,-1176,700.79,783.41,829.37,1266,0,9041.11,0.001504126
2016/11/21,9009.78,9049.76,8986.4,9041.11,9002.93,9032.28,9108.98,8990.8,9427.76,9126.54,8825.33,5,-2972,15512,-22,41089,25,-1151,628.75,712.26,835.79,1265,-1,9133.39,0.003587607
2016/11/22,9058.58,9161.19,9058.58,9133.39,9036.26,9045.13,9108.78,8992.65,9390.84,9113.93,8837.02,3,-2969,15567,42,41131,16,-1135,816.62,714.82,859.65,1263,-2,9178.23,0.010206711
2016/11/23,9146.72,9202.72,9146.72,9178.23,9080.37,9067.58,9110.74,8995.56,9359.36,9104.73,8850.1,0,-2969,15600,21,41152,10,-1125,753.85,708.96,815.28,1266,3,9152.11,0.004909459
2016/11/24,9164.84,9183.16,9137.56,9152.11,9106.72,9084.27,9112.34,8998.27,9337.1,9097.36,8857.62,3,-2966,15586,-39,41113,7,-1118,653.98,710.8,791.11,1273,7,9159.07,-0.002845865
2016/11/25,9149.35,9191.34,9148.63,9159.07,9125.18,9098.42,9113.97,9000.98,9311.85,9089.97,8868.08,0,-2966,15600,6,41119,5,-1113,588.02,688.24,735.83,1275,2,9222.24,0.00076048
2016/11/28,9167.33,9241.54,9167.33,9222.24,9149.99,9116.82,9116.78,9004.26,9297.94,9086.57,8875.21,3,-2963,15642,46,41165,0,-1113,725.92,707.68,709.97,1277,2,9192.38,0.006896988
2016/11/29,9220.95,9249.06,9192.38,9192.38,9171.22,9134.43,9119.95,9007.72,9282.36,9082.56,8882.75,2,-2961,15649,-1,41164,10,-1103,757.11,695.78,705.3,1281,4,9240.71,-0.003237825
2016/11/30,9196.09,9240.71,9189.62,9240.71,9186.41,9149.41,9123.13,9011.18,9297.83,9087.64,8877.44,3,-2958,15641,10,41174,-12,-1115,1076.49,760.3,734.63,1286,5,9263.53,0.005257616
2016/12/1,9245.55,9278.96,9241.78,9263.53,9210.09,9169.05,9127.53,9015.25,9320.84,9097.45,8874.06,-1,-2959,15665,10,41184,9,-1106,751.56,779.82,745.31,1289,3,9189.49,0.002469507
2016/12/2,9214.56,9214.56,9165.9,9189.49,9205.44,9173.97,9129.78,9018.24,9329.96,9103.52,8877.07,0,-2959,15606,-100,41084,-7,-1113,762.98,814.81,751.53,1296,7,9160.66,-0.007992633
2016/12/5,9194.46,9212.19,9138.64,9160.66,9195.79,9174.43,9131.31,9020.85,9326.63,9102.06,8877.49,1,-2958,15571,-61,41023,-5,-1118,635.93,796.81,752.24,1301,5,9250.77,-0.00313728
2016/12/6,9209.8,9280.65,9209.8,9250.77,9209.78,9185.94,9134.8,9024.44,9332.16,9103.73,8875.3,2,-2956,15630,66,41089,3,-1115,714.26,788.24,742.01,1298,-3,9263.89,0.009836627
2016/12/7,9279,9299.92,9247.5,9263.89,9230.71,9201.7,9139.32,9028.54,9345.88,9119.76,8893.64,0,-2956,15645,19,41108,-4,-1119,667.25,706.39,733.35,1300,2,9375.86,0.00141826
2016/12/8,9308.9,9376.41,9308.9,9375.86,9267.98,9227.3,9145.98,9033.73,9383.01,9130.95,8878.88,3,-2953,15748,126,41234,-6,-1125,910.35,738.15,758.99,1303,3,9392.68,0.012086715
