time,open,high,low,close,EMA5,EMA10,EMA60,EMA120,UB2.00,BBandMA20,LB2.00,trust_buy,trust,keyman,foreign_buy,foreign,dealer_buy,dealer,volumn,MA5,MA10,financing,financing_error
2019/11/25,11590.81,11604.75,11559.33,11561.58,11570.33,11553.05,11202.98,10975.34,11723.29,11523.9,11324.51,-2.15货,-3163货,15984货,14.8货,41188货,-2.06货,-1657货,1135.33,1173.52,1197.02,1402货,2.33货
2019/11/26,11608.37,11642.96,11576.82,11576.82,11580.63,11561.81,11216.03,10985.69,11716.34,11536.05,11355.75,1.53货,-3162货,16012货,3.74货,41192货,3.46货,-1653货,2019.68,1330.21,1279.43,1399货,-2.94货
2019/11/27,11590.81,11651.73,11590.81,11647.46,11593.82,11572.43,11229.29,10996.18,11720.93,11549.41,11377.88,7.05货,-3155货,16051货,25.1货,41217货,15.2货,-1638货,1099.27,1313.52,1272.68,1401货,2.25货
2019/11/28,11641.7,11654.06,11604.68,11617.08,11605.68,11582.78,11242.4,11006.64,11711.98,11562.32,11412.67,-2.65货,-3157货,16042货,14.4货,41231货,-13.0货,-1651货,1062.71,1282.31,1246.73,1407货,5.90货
2019/11/29,11616.88,11623.59,11485.16,11489.57,11588.38,11577.51,11252.61,11015.69,11701.26,11566.83,11432.39,-3.25货,-3161货,15896货,-126货,41105货,-33.3货,-1684货,1214.32,1306.26,1236.22,1411货,3.78货
2019/12/2,11509.94,11524.85,11454.38,11502.83,11558.26,11563.06,11260.66,11023.66,11701.4,11564.12,11426.85,-3.22货,-3164货,15884货,34.6货,41140货,-21.0货,-1705货,1148.82,1308.96,1241.24,1407货,-3.96货
2019/12/3,11473.32,11531.58,11460.06,11531.58,11538.55,11551.44,11268.48,11031.52,11691.36,11558.5,11425.64,1.47货,-3162货,15910货,45.7货,41186货,18.5货,-1687货,1097.8,1124.59,1227.4,1410货,3.29货
2019/12/4,11511.82,11513.83,11457.43,11510.47,11525.16,11541.79,11276.02,11039.24,11678.34,11551.37,11424.4,3.95货,-3158货,15862货,-26.7货,41159货,-1.72货,-1689货,1094.93,1123.72,1218.62,1411货,1.15货
2019/12/5,11546.75,11604.39,11546.75,11594.65,11541.15,11547.49,11285.76,11048.06,11676.82,11550.78,11424.74,5.63货,-3153货,15923货,61.7货,41221货,19.8货,-1669货,1251.31,1161.44,1221.87,1410货,-9858窾
2019/12/6,11639.8,11657.65,11577.83,11609.64,11567.85,11560.9,11296.76,11057.53,11680.36,11552.28,11424.2,-5648窾,-3153货,15942货,38.9货,41260货,6.32货,-1662货,1125.74,1143.72,1224.99,1413货,3.08货
2019/12/9,11635.47,11678.36,11631.03,11660.77,11595.7,11577.35,11308.38,11067.35,11686.79,11563.96,11441.12,-2.04货,-3155货,15997货,42.0货,41302货,21.7货,-1641货,1237.87,1161.53,1235.25,1409货,-3.89货
2019/12/10,11647.78,11649.73,11607.26,11627.84,11608.18,11587.5,11319.03,11076.7,11693.46,11569.33,11445.2,-1.51货,-3157货,15985货,-27.3货,41274货,3.15货,-1638货,1054.88,1152.95,1138.77,1410货,2271窾
2019/12/11,11635.07,11700.77,11622.58,11700.77,11627.06,11601.55,11330.37,11086.42,11708.5,11580.98,11453.46,4.94货,-3152货,16044货,40.5货,41315货,3.42货,-1634货,1289.94,1191.95,1157.83,1410货,-564窾
2019/12/12,11766.98,11875.98,11766.98,11836.42,11688.57,11639.74,11346.15,11098.41,11756.52,11600.28,11444.03,-2.81货,-3155货,16149货,94.3货,41409货,2.30货,-1632货,1544.07,1250.5,1205.97,1411货,1.65货
2019/12/13,11937.9,11990.78,11913.02,11927.73,11773.16,11694.76,11365.69,11112.36,11828.05,11620.38,11412.72,-7582窾,-3155货,16285货,159货,41569货,-1.56货,-1633货,1731.86,1371.73,1257.72,1414货,3.23货
2019/12/16,11915.61,11975.73,11915.61,11939.77,11827.67,11738.75,11384.42,11125.98,11886.95,11637.38,11387.81,1.05货,-3154货,16325货,21.0货,41590货,25.6货,-1608货,1448.49,1413.85,1287.69,1427货,13.1货
2019/12/17,11939.62,12097.01,11939.62,12097.01,11891.22,11789.58,11405.2,11140.73,11979.61,11659.41,11339.22,1.80货,-3153货,16442货,109货,41698货,24.8货,-1583货,1565.73,1516.02,1334.48,1426货,-1.86货
2019/12/18,12061.1,12125.9,12059.92,12122.45,11958.26,11844.63,11427.73,11156.46,12061.91,11683.98,11306.04,-9.76货,-3162货,16492货,53.0货,41751货,2.89货,-1580货,1506.3,1559.29,1375.62,1427货,1.46货
